Rate Code,Category,Item Description,Project Type,Work Type,Unit,Rate Min Ex GST,Recommended Rate Ex GST,Rate Max Ex GST,Adjustment Type,Rate Basis,Included Scope / Notes,Effective Date,Active
PB-DOORS-FRAM-TIMBER-FRAME-AND-ARCHI-COM-NEW,"Doors, Frames & Internal Timberwork",Timber frame and architraves only,Commercial,New,each,260.0,260.0,260.0,Fixed,Base substrate/item rate,Complete standard frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-FRAME-AND-ARCHI-COM-REP,"Doors, Frames & Internal Timberwork",Timber frame and architraves only,Commercial,Repaint,each,330.0,330.0,330.0,Fixed,Base substrate/item rate,Complete standard frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-FRAME-AND-ARCHI-DOM-NEW,"Doors, Frames & Internal Timberwork",Timber frame and architraves only,Domestic,New,each,220.0,220.0,220.0,Fixed,Base substrate/item rate,Complete standard frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-FRAME-AND-ARCHI-DOM-REP,"Doors, Frames & Internal Timberwork",Timber frame and architraves only,Domestic,Repaint,each,290.0,290.0,290.0,Fixed,Base substrate/item rate,Complete standard frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-STAIRCASE-STAND-COM-NEW,"Doors, Frames & Internal Timberwork","Timber staircase, standard flight",Commercial,New,each,2400.0,2400.0,2400.0,Fixed,Base substrate/item rate,Standard staircase; balustrades and special finishes may be extra.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-STAIRCASE-STAND-COM-REP,"Doors, Frames & Internal Timberwork","Timber staircase, standard flight",Commercial,Repaint,each,3000.0,3000.0,3000.0,Fixed,Base substrate/item rate,Standard staircase; balustrades and special finishes may be extra.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-STAIRCASE-STAND-DOM-NEW,"Doors, Frames & Internal Timberwork","Timber staircase, standard flight",Domestic,New,each,2000.0,2000.0,2000.0,Fixed,Base substrate/item rate,Standard staircase; balustrades and special finishes may be extra.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-STAIRCASE-STAND-DOM-REP,"Doors, Frames & Internal Timberwork","Timber staircase, standard flight",Domestic,Repaint,each,2700.0,2700.0,2700.0,Fixed,Base substrate/item rate,Standard staircase; balustrades and special finishes may be extra.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-WINDOW-FRAME-ST-COM-NEW,"Doors, Frames & Internal Timberwork","Timber window frame, standard size",Commercial,New,each,320.0,320.0,320.0,Fixed,Base substrate/item rate,Standard window; excludes extensive putty or rot repairs.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-WINDOW-FRAME-ST-COM-REP,"Doors, Frames & Internal Timberwork","Timber window frame, standard size",Commercial,Repaint,each,420.0,420.0,420.0,Fixed,Base substrate/item rate,Standard window; excludes extensive putty or rot repairs.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-WINDOW-FRAME-ST-DOM-NEW,"Doors, Frames & Internal Timberwork","Timber window frame, standard size",Domestic,New,each,280.0,280.0,280.0,Fixed,Base substrate/item rate,Standard window; excludes extensive putty or rot repairs.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-WINDOW-FRAME-ST-DOM-REP,"Doors, Frames & Internal Timberwork","Timber window frame, standard size",Domestic,Repaint,each,380.0,380.0,380.0,Fixed,Base substrate/item rate,Standard window; excludes extensive putty or rot repairs.,2026-07-17,Yes
PB-EXTERNAL-D-ALUMINIUM-WINDOW-REQUI-COM-NEW,"External Doors, Windows & Garage Doors",Aluminium window requiring specialist primer,Commercial,New,each,350.0,350.0,350.0,Fixed,Base substrate/item rate,Adhesion preparation and compatible primer required.,2026-07-17,Yes
PB-EXTERNAL-D-ALUMINIUM-WINDOW-REQUI-COM-REP,"External Doors, Windows & Garage Doors",Aluminium window requiring specialist primer,Commercial,Repaint,each,450.0,450.0,450.0,Fixed,Base substrate/item rate,Adhesion preparation and compatible primer required.,2026-07-17,Yes
PB-EXTERNAL-D-ALUMINIUM-WINDOW-REQUI-DOM-NEW,"External Doors, Windows & Garage Doors",Aluminium window requiring specialist primer,Domestic,New,each,300.0,300.0,300.0,Fixed,Base substrate/item rate,Adhesion preparation and compatible primer required.,2026-07-17,Yes
PB-EXTERNAL-D-ALUMINIUM-WINDOW-REQUI-DOM-REP,"External Doors, Windows & Garage Doors",Aluminium window requiring specialist primer,Domestic,Repaint,each,400.0,400.0,400.0,Fixed,Base substrate/item rate,Adhesion preparation and compatible primer required.,2026-07-17,Yes
PB-EXTERNAL-D-DOUBLE-GARAGE-DOOR-COM-NEW,"External Doors, Windows & Garage Doors",Double garage door,Commercial,New,each,1050.0,1050.0,1050.0,Fixed,Base substrate/item rate,Standard double sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-DOUBLE-GARAGE-DOOR-COM-REP,"External Doors, Windows & Garage Doors",Double garage door,Commercial,Repaint,each,1350.0,1350.0,1350.0,Fixed,Base substrate/item rate,Standard double sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-DOUBLE-GARAGE-DOOR-DOM-NEW,"External Doors, Windows & Garage Doors",Double garage door,Domestic,New,each,900.0,900.0,900.0,Fixed,Base substrate/item rate,Standard double sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-DOUBLE-GARAGE-DOOR-DOM-REP,"External Doors, Windows & Garage Doors",Double garage door,Domestic,Repaint,each,1200.0,1200.0,1200.0,Fixed,Base substrate/item rate,Standard double sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-EXTERNAL-FLUSH-DOOR-COM-NEW,"External Doors, Windows & Garage Doors",External flush door,Commercial,New,each,600.0,600.0,600.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-EXTERNAL-D-EXTERNAL-FLUSH-DOOR-COM-REP,"External Doors, Windows & Garage Doors",External flush door,Commercial,Repaint,each,750.0,750.0,750.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-EXTERNAL-D-EXTERNAL-FLUSH-DOOR-DOM-NEW,"External Doors, Windows & Garage Doors",External flush door,Domestic,New,each,520.0,520.0,520.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-EXTERNAL-D-EXTERNAL-FLUSH-DOOR-DOM-REP,"External Doors, Windows & Garage Doors",External flush door,Domestic,Repaint,each,680.0,680.0,680.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-EXTERNAL-D-PANELLED-EXTERNAL-DOOR-COM-NEW,"External Doors, Windows & Garage Doors",Panelled external door,Commercial,New,each,750.0,750.0,750.0,Fixed,Base substrate/item rate,Allows for panel detailing.,2026-07-17,Yes
PB-EXTERNAL-D-PANELLED-EXTERNAL-DOOR-COM-REP,"External Doors, Windows & Garage Doors",Panelled external door,Commercial,Repaint,each,920.0,920.0,920.0,Fixed,Base substrate/item rate,Allows for panel detailing.,2026-07-17,Yes
PB-EXTERNAL-D-PANELLED-EXTERNAL-DOOR-DOM-NEW,"External Doors, Windows & Garage Doors",Panelled external door,Domestic,New,each,650.0,650.0,650.0,Fixed,Base substrate/item rate,Allows for panel detailing.,2026-07-17,Yes
PB-EXTERNAL-D-PANELLED-EXTERNAL-DOOR-DOM-REP,"External Doors, Windows & Garage Doors",Panelled external door,Domestic,Repaint,each,850.0,850.0,850.0,Fixed,Base substrate/item rate,Allows for panel detailing.,2026-07-17,Yes
PB-EXTERNAL-D-ROLLER-SHUTTER-DOOR-COM-NEW,"External Doors, Windows & Garage Doors",Roller shutter door,Commercial,New,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Actual shutter area.,2026-07-17,Yes
PB-EXTERNAL-D-ROLLER-SHUTTER-DOOR-COM-REP,"External Doors, Windows & Garage Doors",Roller shutter door,Commercial,Repaint,m²,85.0,85.0,85.0,Fixed,Base substrate/item rate,Actual shutter area.,2026-07-17,Yes
PB-EXTERNAL-D-ROLLER-SHUTTER-DOOR-DOM-NEW,"External Doors, Windows & Garage Doors",Roller shutter door,Domestic,New,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Actual shutter area.,2026-07-17,Yes
PB-EXTERNAL-D-ROLLER-SHUTTER-DOOR-DOM-REP,"External Doors, Windows & Garage Doors",Roller shutter door,Domestic,Repaint,m²,75.0,75.0,75.0,Fixed,Base substrate/item rate,Actual shutter area.,2026-07-17,Yes
PB-EXTERNAL-D-SINGLE-GARAGE-DOOR-COM-NEW,"External Doors, Windows & Garage Doors",Single garage door,Commercial,New,each,650.0,650.0,650.0,Fixed,Base substrate/item rate,Standard sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-SINGLE-GARAGE-DOOR-COM-REP,"External Doors, Windows & Garage Doors",Single garage door,Commercial,Repaint,each,850.0,850.0,850.0,Fixed,Base substrate/item rate,Standard sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-SINGLE-GARAGE-DOOR-DOM-NEW,"External Doors, Windows & Garage Doors",Single garage door,Domestic,New,each,550.0,550.0,550.0,Fixed,Base substrate/item rate,Standard sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-SINGLE-GARAGE-DOOR-DOM-REP,"External Doors, Windows & Garage Doors",Single garage door,Domestic,Repaint,each,750.0,750.0,750.0,Fixed,Base substrate/item rate,Standard sectional/panel-lift door.,2026-07-17,Yes
PB-EXTERNAL-D-STEEL-EXTERNAL-DOOR-AN-COM-NEW,"External Doors, Windows & Garage Doors",Steel external door and frame,Commercial,New,set,750.0,750.0,750.0,Fixed,Base substrate/item rate,Complete single set.,2026-07-17,Yes
PB-EXTERNAL-D-STEEL-EXTERNAL-DOOR-AN-COM-REP,"External Doors, Windows & Garage Doors",Steel external door and frame,Commercial,Repaint,set,900.0,900.0,900.0,Fixed,Base substrate/item rate,Complete single set.,2026-07-17,Yes
PB-EXTERNAL-D-STEEL-EXTERNAL-DOOR-AN-DOM-NEW,"External Doors, Windows & Garage Doors",Steel external door and frame,Domestic,New,set,650.0,650.0,650.0,Fixed,Base substrate/item rate,Complete single set.,2026-07-17,Yes
PB-EXTERNAL-D-STEEL-EXTERNAL-DOOR-AN-DOM-REP,"External Doors, Windows & Garage Doors",Steel external door and frame,Domestic,Repaint,set,800.0,800.0,800.0,Fixed,Base substrate/item rate,Complete single set.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-FEATURE-FRONT-D-COM-NEW,"External Doors, Windows & Garage Doors",Timber feature front door,Commercial,New,each,850.0,850.0,850.0,Fixed,Base substrate/item rate,Premium finish; excludes major restoration.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-FEATURE-FRONT-D-COM-REP,"External Doors, Windows & Garage Doors",Timber feature front door,Commercial,Repaint,each,1050.0,1050.0,1050.0,Fixed,Base substrate/item rate,Premium finish; excludes major restoration.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-FEATURE-FRONT-D-DOM-NEW,"External Doors, Windows & Garage Doors",Timber feature front door,Domestic,New,each,750.0,750.0,750.0,Fixed,Base substrate/item rate,Premium finish; excludes major restoration.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-FEATURE-FRONT-D-DOM-REP,"External Doors, Windows & Garage Doors",Timber feature front door,Domestic,Repaint,each,950.0,950.0,950.0,Fixed,Base substrate/item rate,Premium finish; excludes major restoration.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-WINDOW-EXTERNAL-COM-NEW,"External Doors, Windows & Garage Doors","Timber window, external faces",Commercial,New,each,350.0,350.0,350.0,Fixed,Base substrate/item rate,Standard window; repairs excluded.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-WINDOW-EXTERNAL-COM-REP,"External Doors, Windows & Garage Doors","Timber window, external faces",Commercial,Repaint,each,480.0,480.0,480.0,Fixed,Base substrate/item rate,Standard window; repairs excluded.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-WINDOW-EXTERNAL-DOM-NEW,"External Doors, Windows & Garage Doors","Timber window, external faces",Domestic,New,each,300.0,300.0,300.0,Fixed,Base substrate/item rate,Standard window; repairs excluded.,2026-07-17,Yes
PB-EXTERNAL-D-TIMBER-WINDOW-EXTERNAL-DOM-REP,"External Doors, Windows & Garage Doors","Timber window, external faces",Domestic,Repaint,each,430.0,430.0,430.0,Fixed,Base substrate/item rate,Standard window; repairs excluded.,2026-07-17,Yes
PB-EXTERNAL-W-CEMENT-RENDER-COM-NEW,External Walls & Cladding,Cement render,Commercial,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Premium exterior acrylic; sound cured render.,2026-07-17,Yes
PB-EXTERNAL-W-CEMENT-RENDER-COM-REP,External Walls & Cladding,Cement render,Commercial,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Premium exterior acrylic; sound cured render.,2026-07-17,Yes
PB-EXTERNAL-W-CEMENT-RENDER-DOM-NEW,External Walls & Cladding,Cement render,Domestic,New,m²,48.0,48.0,48.0,Fixed,Base substrate/item rate,Premium exterior acrylic; sound cured render.,2026-07-17,Yes
PB-EXTERNAL-W-CEMENT-RENDER-DOM-REP,External Walls & Cladding,Cement render,Domestic,Repaint,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Premium exterior acrylic; sound cured render.,2026-07-17,Yes
PB-EXTERNAL-W-CONCRETE-BLOCKWORK-COM-NEW,External Walls & Cladding,Concrete blockwork,Commercial,New,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Includes suitable sealer/block filler and exterior finish.,2026-07-17,Yes
PB-EXTERNAL-W-CONCRETE-BLOCKWORK-COM-REP,External Walls & Cladding,Concrete blockwork,Commercial,Repaint,m²,62.0,62.0,62.0,Fixed,Base substrate/item rate,Includes suitable sealer/block filler and exterior finish.,2026-07-17,Yes
PB-EXTERNAL-W-CONCRETE-BLOCKWORK-DOM-NEW,External Walls & Cladding,Concrete blockwork,Domestic,New,m²,50.0,50.0,50.0,Fixed,Base substrate/item rate,Includes suitable sealer/block filler and exterior finish.,2026-07-17,Yes
PB-EXTERNAL-W-CONCRETE-BLOCKWORK-DOM-REP,External Walls & Cladding,Concrete blockwork,Domestic,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Includes suitable sealer/block filler and exterior finish.,2026-07-17,Yes
PB-EXTERNAL-W-ELASTOMERIC-MEMBRANE-O-COM-NEW,External Walls & Cladding,Elastomeric membrane over render,Commercial,New,m²,72.0,72.0,72.0,Fixed,Base substrate/item rate,High-build membrane system; final specification to be confirmed.,2026-07-17,Yes
PB-EXTERNAL-W-ELASTOMERIC-MEMBRANE-O-COM-REP,External Walls & Cladding,Elastomeric membrane over render,Commercial,Repaint,m²,82.0,82.0,82.0,Fixed,Base substrate/item rate,High-build membrane system; final specification to be confirmed.,2026-07-17,Yes
PB-EXTERNAL-W-ELASTOMERIC-MEMBRANE-O-DOM-NEW,External Walls & Cladding,Elastomeric membrane over render,Domestic,New,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,High-build membrane system; final specification to be confirmed.,2026-07-17,Yes
PB-EXTERNAL-W-ELASTOMERIC-MEMBRANE-O-DOM-REP,External Walls & Cladding,Elastomeric membrane over render,Domestic,Repaint,m²,75.0,75.0,75.0,Fixed,Base substrate/item rate,High-build membrane system; final specification to be confirmed.,2026-07-17,Yes
PB-EXTERNAL-W-FC-WEATHERBOARD-STYLE--COM-NEW,External Walls & Cladding,FC weatherboard-style cladding,Commercial,New,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Allows for laps and additional cutting.,2026-07-17,Yes
PB-EXTERNAL-W-FC-WEATHERBOARD-STYLE--COM-REP,External Walls & Cladding,FC weatherboard-style cladding,Commercial,Repaint,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Allows for laps and additional cutting.,2026-07-17,Yes
PB-EXTERNAL-W-FC-WEATHERBOARD-STYLE--DOM-NEW,External Walls & Cladding,FC weatherboard-style cladding,Domestic,New,m²,50.0,50.0,50.0,Fixed,Base substrate/item rate,Allows for laps and additional cutting.,2026-07-17,Yes
PB-EXTERNAL-W-FC-WEATHERBOARD-STYLE--DOM-REP,External Walls & Cladding,FC weatherboard-style cladding,Domestic,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Allows for laps and additional cutting.,2026-07-17,Yes
PB-EXTERNAL-W-FACE-BRICK-TO-BE-PAINT-COM-NEW,External Walls & Cladding,Face brick to be painted,Commercial,New,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Includes masonry preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-FACE-BRICK-TO-BE-PAINT-COM-REP,External Walls & Cladding,Face brick to be painted,Commercial,Repaint,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Includes masonry preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-FACE-BRICK-TO-BE-PAINT-DOM-NEW,External Walls & Cladding,Face brick to be painted,Domestic,New,m²,52.0,52.0,52.0,Fixed,Base substrate/item rate,Includes masonry preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-FACE-BRICK-TO-BE-PAINT-DOM-REP,External Walls & Cladding,Face brick to be painted,Domestic,Repaint,m²,62.0,62.0,62.0,Fixed,Base substrate/item rate,Includes masonry preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-FIBRE-CEMENT-SHEET-CLA-COM-NEW,External Walls & Cladding,Fibre-cement sheet cladding,Commercial,New,m²,52.0,52.0,52.0,Fixed,Base substrate/item rate,Joints and sheets assumed complete and dry.,2026-07-17,Yes
PB-EXTERNAL-W-FIBRE-CEMENT-SHEET-CLA-COM-REP,External Walls & Cladding,Fibre-cement sheet cladding,Commercial,Repaint,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Joints and sheets assumed complete and dry.,2026-07-17,Yes
PB-EXTERNAL-W-FIBRE-CEMENT-SHEET-CLA-DOM-NEW,External Walls & Cladding,Fibre-cement sheet cladding,Domestic,New,m²,45.0,45.0,45.0,Fixed,Base substrate/item rate,Joints and sheets assumed complete and dry.,2026-07-17,Yes
PB-EXTERNAL-W-FIBRE-CEMENT-SHEET-CLA-DOM-REP,External Walls & Cladding,Fibre-cement sheet cladding,Domestic,Repaint,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Joints and sheets assumed complete and dry.,2026-07-17,Yes
PB-EXTERNAL-W-METAL-WALL-CLADDING-COM-NEW,External Walls & Cladding,Metal wall cladding,Commercial,New,m²,45.0,45.0,45.0,Fixed,Base substrate/item rate,Compatible metal preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-METAL-WALL-CLADDING-COM-REP,External Walls & Cladding,Metal wall cladding,Commercial,Repaint,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Compatible metal preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-METAL-WALL-CLADDING-DOM-NEW,External Walls & Cladding,Metal wall cladding,Domestic,New,m²,40.0,40.0,40.0,Fixed,Base substrate/item rate,Compatible metal preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-METAL-WALL-CLADDING-DOM-REP,External Walls & Cladding,Metal wall cladding,Domestic,Repaint,m²,50.0,50.0,50.0,Fixed,Base substrate/item rate,Compatible metal preparation and coating system.,2026-07-17,Yes
PB-EXTERNAL-W-PREVIOUSLY-COATED-COLO-COM-REP,External Walls & Cladding,Previously coated Colorbond cladding,Commercial,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Repaint only; adhesion testing and correct primer required.,2026-07-17,Yes
PB-EXTERNAL-W-PREVIOUSLY-COATED-COLO-DOM-REP,External Walls & Cladding,Previously coated Colorbond cladding,Domestic,Repaint,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Repaint only; adhesion testing and correct primer required.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-OR-POROUS-CONCRE-COM-NEW,External Walls & Cladding,Rough or porous concrete,Commercial,New,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Allows for higher material usage and profile.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-OR-POROUS-CONCRE-COM-REP,External Walls & Cladding,Rough or porous concrete,Commercial,Repaint,m²,72.0,72.0,72.0,Fixed,Base substrate/item rate,Allows for higher material usage and profile.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-OR-POROUS-CONCRE-DOM-NEW,External Walls & Cladding,Rough or porous concrete,Domestic,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Allows for higher material usage and profile.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-OR-POROUS-CONCRE-DOM-REP,External Walls & Cladding,Rough or porous concrete,Domestic,Repaint,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Allows for higher material usage and profile.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-SAWN-TIMBER-COM-NEW,External Walls & Cladding,Rough-sawn timber,Commercial,New,m²,72.0,72.0,72.0,Fixed,Base substrate/item rate,Higher coating consumption and labour.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-SAWN-TIMBER-COM-REP,External Walls & Cladding,Rough-sawn timber,Commercial,Repaint,m²,88.0,88.0,88.0,Fixed,Base substrate/item rate,Higher coating consumption and labour.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-SAWN-TIMBER-DOM-NEW,External Walls & Cladding,Rough-sawn timber,Domestic,New,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Higher coating consumption and labour.,2026-07-17,Yes
PB-EXTERNAL-W-ROUGH-SAWN-TIMBER-DOM-REP,External Walls & Cladding,Rough-sawn timber,Domestic,Repaint,m²,82.0,82.0,82.0,Fixed,Base substrate/item rate,Higher coating consumption and labour.,2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-FORMED-CONCRETE-COM-NEW,External Walls & Cladding,Smooth formed concrete,Commercial,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,"Includes normal cleaning, primer and finish coats.",2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-FORMED-CONCRETE-COM-REP,External Walls & Cladding,Smooth formed concrete,Commercial,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,"Includes normal cleaning, primer and finish coats.",2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-FORMED-CONCRETE-DOM-NEW,External Walls & Cladding,Smooth formed concrete,Domestic,New,m²,48.0,48.0,48.0,Fixed,Base substrate/item rate,"Includes normal cleaning, primer and finish coats.",2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-FORMED-CONCRETE-DOM-REP,External Walls & Cladding,Smooth formed concrete,Domestic,Repaint,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,"Includes normal cleaning, primer and finish coats.",2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-TIMBER-CLADDING-COM-NEW,External Walls & Cladding,Smooth timber cladding,Commercial,New,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Sound timber; excludes rot and major stripping.,2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-TIMBER-CLADDING-COM-REP,External Walls & Cladding,Smooth timber cladding,Commercial,Repaint,m²,75.0,75.0,75.0,Fixed,Base substrate/item rate,Sound timber; excludes rot and major stripping.,2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-TIMBER-CLADDING-DOM-NEW,External Walls & Cladding,Smooth timber cladding,Domestic,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Sound timber; excludes rot and major stripping.,2026-07-17,Yes
PB-EXTERNAL-W-SMOOTH-TIMBER-CLADDING-DOM-REP,External Walls & Cladding,Smooth timber cladding,Domestic,Repaint,m²,70.0,70.0,70.0,Fixed,Base substrate/item rate,Sound timber; excludes rot and major stripping.,2026-07-17,Yes
PB-EXTERNAL-W-TILT-PANEL-CONCRETE-COM-NEW,External Walls & Cladding,Tilt-panel concrete,Commercial,New,m²,50.0,50.0,50.0,Fixed,Base substrate/item rate,Commercial only; standard acrylic system.,2026-07-17,Yes
PB-EXTERNAL-W-TILT-PANEL-CONCRETE-COM-REP,External Walls & Cladding,Tilt-panel concrete,Commercial,Repaint,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Commercial only; standard acrylic system.,2026-07-17,Yes
PB-EXTERNAL-W-TILT-PANEL-FEATURE-MEM-COM-NEW,External Walls & Cladding,Tilt-panel feature membrane,Commercial,New,m²,68.0,68.0,68.0,Fixed,Base substrate/item rate,Commercial only; high-build feature/membrane coating.,2026-07-17,Yes
PB-EXTERNAL-W-TILT-PANEL-FEATURE-MEM-COM-REP,External Walls & Cladding,Tilt-panel feature membrane,Commercial,Repaint,m²,78.0,78.0,78.0,Fixed,Base substrate/item rate,Commercial only; high-build feature/membrane coating.,2026-07-17,Yes
PB-EXTERNAL-W-TIMBER-WEATHERBOARDS-COM-NEW,External Walls & Cladding,Timber weatherboards,Commercial,New,m²,68.0,68.0,68.0,Fixed,Base substrate/item rate,Allows for laps and additional preparation.,2026-07-17,Yes
PB-EXTERNAL-W-TIMBER-WEATHERBOARDS-COM-REP,External Walls & Cladding,Timber weatherboards,Commercial,Repaint,m²,85.0,85.0,85.0,Fixed,Base substrate/item rate,Allows for laps and additional preparation.,2026-07-17,Yes
PB-EXTERNAL-W-TIMBER-WEATHERBOARDS-DOM-NEW,External Walls & Cladding,Timber weatherboards,Domestic,New,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Allows for laps and additional preparation.,2026-07-17,Yes
PB-EXTERNAL-W-TIMBER-WEATHERBOARDS-DOM-REP,External Walls & Cladding,Timber weatherboards,Domestic,Repaint,m²,80.0,80.0,80.0,Fixed,Base substrate/item rate,Allows for laps and additional preparation.,2026-07-17,Yes
PB-FENCES-AND-BOLLARDS-COM-NEW,Fences & Miscellaneous Exterior Work,Bollards,Commercial,New,each,150.0,150.0,150.0,Fixed,Base substrate/item rate,Standard bollard.,2026-07-17,Yes
PB-FENCES-AND-BOLLARDS-COM-REP,Fences & Miscellaneous Exterior Work,Bollards,Commercial,Repaint,each,200.0,200.0,200.0,Fixed,Base substrate/item rate,Standard bollard.,2026-07-17,Yes
PB-FENCES-AND-BOLLARDS-DOM-NEW,Fences & Miscellaneous Exterior Work,Bollards,Domestic,New,each,130.0,130.0,130.0,Fixed,Base substrate/item rate,Standard bollard.,2026-07-17,Yes
PB-FENCES-AND-BOLLARDS-DOM-REP,Fences & Miscellaneous Exterior Work,Bollards,Domestic,Repaint,each,180.0,180.0,180.0,Fixed,Base substrate/item rate,Standard bollard.,2026-07-17,Yes
PB-FENCES-AND-MASONRY-FENCE-COM-NEW,Fences & Miscellaneous Exterior Work,Masonry fence,Commercial,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Standard masonry coating system.,2026-07-17,Yes
PB-FENCES-AND-MASONRY-FENCE-COM-REP,Fences & Miscellaneous Exterior Work,Masonry fence,Commercial,Repaint,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Standard masonry coating system.,2026-07-17,Yes
PB-FENCES-AND-MASONRY-FENCE-DOM-NEW,Fences & Miscellaneous Exterior Work,Masonry fence,Domestic,New,m²,48.0,48.0,48.0,Fixed,Base substrate/item rate,Standard masonry coating system.,2026-07-17,Yes
PB-FENCES-AND-MASONRY-FENCE-DOM-REP,Fences & Miscellaneous Exterior Work,Masonry fence,Domestic,Repaint,m²,60.0,60.0,60.0,Fixed,Base substrate/item rate,Standard masonry coating system.,2026-07-17,Yes
PB-FENCES-AND-RENDERED-FENCE-COM-NEW,Fences & Miscellaneous Exterior Work,Rendered fence,Commercial,New,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Sound cured render.,2026-07-17,Yes
